AC149090.1
Fkbp5
mt-Co3
mt-Co1
Dapk1
Meg3
Sntb2
Snhg11
mt-Co2
Nlk
Rbm39
Fndc9
Slc15a2
Rtn4rl1
Zbtb16
Slc35f3
Nup93
Arhgap39
Tbc1d1
2010300C02Rik
Prelid3a
Msra
AY036118
Gm26848
Ctnna3
Pkp2
Gpr158
St6galnac5
Grin2a
Gm44511
Epo
Smad3
Fth1
Trim35
Snta1
Nol4l
Matn2
Ntrk2
Gm26906
Etnk2
Pde4b
Crebbp
Crispld1
Gm26693
Prkg1
Adcy9
Tnr
Galnt18
Rnf112
Cnksr2
Arpp21
Hk1
Chl1
Zfyve28
Zfand3
Cpeb3
Cdk5r1
Zfyve9
Camk1
Clvs2
Flrt2
Gria1
Tmem132d
Ppm1e
Lsamp
BC030499
Gm16183
P4ha3
4930545L23Rik
Cntnap2
Gm12536
A830018L16Rik
Astn2
Cdyl2
Nedd4l
Gm48091
Ddn
Rbfox2
Gria2
Gm39317
Serpini1
Wipf3
Dusp16
Strbp
Slc44a1
Enpp2
Mkx
Sv2c
Kcnk13
Etv1
Pak7
Rph3a
mt-Nd1
Gm32828
Prex1
Zeb2
Neto2
Golm1
B4galt1
Cdh11
Gda
2900097C17Rik
Sec14l2
Sesn1
Gm16541
9530059O14Rik
Prpf4b
Vps13a
Mdga2
Serinc2
Kcnma1
Chsy3
Nrg1
Lrfn2
Mbnl1
Gm26518
Mid1
Pcmtd1
Ccdc7b
Itgb8
Mical2
Col4a1
Neto1
mt-Atp6
Kbtbd11
Zmym1
Fbxw7
Epha3
Gm26760
Kcnj3
Adgra1
Chn1
Sycp3
Cttnbp2
Arhgap32
Scn1a
Cit
Epha10
Kctd8
Chic1
Tmem243
Sphkap
Gm48003
Tsnax
Sik2
Pam
Grm3
Kcnmb4
Rhoq
Cpe
Kmt2e
Comt
Numb
Rps6ka3
Trim2
Mgll
4921504A21Rik
Eif2s3y
Colgalt2
Atad2
Mkl1
Enc1
Zbtb7c
Baz1b
Klhl29
Kcnip4
Fam19a2
Kcnq1
Sorbs2os
Ptk2b
Scn3a
Snx24
Cemip
Pdzrn4
Phyhip
Xlr4b
Megf11
Arfgef3
1600020E01Rik
Sgsm2
Itgb1
Spaca6
C230004F18Rik
Slc2a3
Tiparp
Gsdme
Ndufaf4
Pgm2l1
Capn11
4930570B17Rik
Gm38155
Slit2
Dnah17
Src
Gm6563
Olfm1
AC165271.1
Ube2g1
Cdh8
Man1c1
Syt1
Pik3ca
Gm42418
Dpy19l1
Gm19710
9630028H03Rik
Gm26804
6720427I07Rik
Gm15478
Slco4c1
Tmem178
Jade3
Rassf5
Borcs5
Pdgfc
Rnf165
Thsd4
Drg1
Gm16105
Mgrn1
Lrfn5
Ppp4r4
Meis2
Ubp1
Ccdc126
Itgav
Gm35188
Gm27008
Ralgapa2
Gm12709
Nfkbid
Dnajc1
Pdk1
Epha7
Cd180
Xlr3b
Tmtc1
Rps29
Ntm
Rims1
Sycp2
Scn2a
Gm35161
Sntg2
Amph
Ndrg3
Slit3
Sorbs2
Sccpdh
Lyzl4
Fbn1
Tlk1
Ppm1h
mt-Nd4
Snap25
Chka
Qtrt1
Nebl
Cbfb
Cdkl5
Cabp1
D430041D05Rik
Cx3cl1
Map3k14
Pla2g3
Kalrn
Eva1a
Ddx5
Stap1
Prim2
Stx6
Cbr1
A830082K12Rik
Pparg
Arih1
Atrnl1
Gm20275
Reps1
Smurf1
3632451O06Rik
C2cd2
A530046M15Rik
Coro2a
Rin1
Tet3
Etnk1
Fgfr2
Nhsl2
Slc9a9
Kcnq1ot1
Dlg1
Lrrn2
Ddx3x
Tshz3
4930415C11Rik
Fscn1
Ephx2
Pcdh17
Gm47815
Arf3
Shc2
Tacc1
Rnh1
Adcy2
Id2
P2ry12
Fmn2
Pabpc1
Gm13883
Hdhd3
Cdh18
Lrrfip2
Slc7a14
Mat2b
Fkbp1a
Tnfrsf21
Phf24
Sgsm1
Abl2
Ankrd28
Usp36
Mycbp
Rapgef5
Rspo3
Apba1
1700010K23Rik
Atp1b1
Crebzf
Foxo1
Necab1
Itm2b
Bbof1
Sfi1
Cacna2d3
Rnf144a
Stox2
Il1rap
5330434G04Rik
Ush2a
mt-Cytb
Sfpq
Crtc3
Dbp
Gm38039
Nbeal1
Spred3
Deaf1
B230217J21Rik
Gm15726
Gm12718
Gm15813
Zfp316
Lrrc19
Kcng3
Cox6b1
Cntn6
Shank1
Gpld1
1700086O06Rik
Drp2
Rprml
Dmxl2
Slitrk3
Arpp19
St6gal2
Hbb-bs
Zmiz1
Cpne6
Kmt2c
Nectin3
Klkb1
Gm45645
Nmnat2
Chgb
Slc38a2
Zfp941
Scpep1os
Hdgfl2
Fkbp9
Gm30382
Peak1
Mycbp2
Prr16
Fam219a
Nectin1
Alkbh3
Rasl10a
Clmn
Gm32926
Rp1
Kcnk3
Ism1
Kcna1
Atp1a1
9130015G15Rik
Gm12764
Camk1d
Gm11423
Rbpj
Abhd14b
Gm26533
Pik3c2b
Adap1
Arhgef3
Rapgef1
Sema3a
Gm48678
Gm15097
Rtn1
Smarce1
Rb1cc1
4933427D14Rik
Coro2b
Cbfa2t3
Diaph2
Stk16
Grm5
Vegfb
Stx1a
Bcl2
Osbp2
Adgrl1
Ttc39c
Sept9
Mir9-3hg
Efr3b
Kcnq5
Gabrg3
Lama3
Rnf150
Tcf7
Sorcs1
Soga3
Gls
Cstf3
2810432F15Rik
Rgs6
Shisa3
Rbbp6
AC162302.1
Hrh4
1700094M23Rik
Gm44151
Rab3c
Brinp1
Serf1
Pcsk1
Lamp5
Gm26798
Maea
Kcnk10
Pclo
Pcdh7
H3f3b
Npy1r
Wls
Slc13a4
Zfp27
Ddb2
Kcnk12
Slf1
Fnbp1l
Bbs12
Bean1
Nkain2
Slc16a2
Nbea
Rnf144b
Gm3636
Itpka
Ncl
Zdhhc2
Odc1
Sptbn4
Car11
Map2k4
Map1b
Snph
Kcnh1
Clasp1
Lrrc4c
Pknox2
Cbarp
Rasal2
Astn1
Rflnb
Stip1
Rufy3
Anks1b
Dtnbos
2510009E07Rik
Gm13269
Nono
Cdkl4
Dock3
Taf6l
AC114585.1
Itpr1
Shisa7
Eef1a2
Lemd2
Hnrnpl
Snx30
B4galt2
5530401A14Rik
Cers6
Bop1
Pdhx
Pabpc4
mt-Nd3
Gm45871
Crmp1
Rarres1
Gm12394
Gm15723
Tyro3
Cartpt
Nfix
Ccdc28b
4930455C13Rik
Otulin
Gm10037
1700024B18Rik
Prodh
Nynrin
Gm48383
B230334C09Rik
Gm3512
Agpat4
Cirbp
Pou2f1
Dpf3
Gm47071
Syt16
Zfp943
Mrpl54
Vstm5
Gabbr2
Atp2b1
Fam234b
Ephb1
Gm38102
Kcnt2
Rbms1
Edrf1
Nxpe4
Cacng2
Kmt2d
Plod3
Ltbp2
Scmh1
Nrcam
Prune2
Fhod3
Ppfia2
Hba-a2
Rab2b
Psmb5
Zfp13
Far1os
Emd
Slc25a38
Ppef1
Rap1gds1
Myo18a
Gm16333
Hecw1
Mia2
Gm42917
Gm47639
Hibadh
Zfp30
Irf2
Sycp1
Erbin
Timm9
Lrrc40
Pdcd6ip
Rps6kl1
Slc16a4
Lrrc58
Efnb2
Gm49380
Kiss1r
Epha5
Ppp1r11
Uqcrb
Klb
Golgb1
Ldhb
Krt12
Timm22
Ten1
Zbtb46
Gm11250
Rgs4
Rnf217
Ccdc84
Cwf19l2
Gabrb2
B930036N10Rik
Stau2
Nfib
Vsnl1
Gm14377
Stk19
Zc3h15
Cpxcr1
Sox5
Ap2b1
Gm15337
Gm38186
Car12
Ppie
Tmc4
Naxd
Sf3b5
Slc26a7
Mfap3
Hmox2
Maged1
Lmo4
Gm45820
Gm10785
Susd4
mt-Nd2
Kif1a
Mpv17l2
Stx2
Cyp2j12
Kdm4c
Traf6
Samd11
Smurf2
Gm15856
Aftph
Ctnna1
Snx25
Usp50
Telo2
Dynll1
Echdc1
Scn4b
Cry2
Sgcz
Klhl2
Khsrp
Tspoap1
Opcml
Cpeb2
A330069K06Rik
Bsg
Bend7
Ppp1r35
Flcn
Trem3
Rhbdd3
Gm16168
Arl5b
Lsm12
Gm10097
G6pc3
Kif5a
Nudt5
Klf13
Gm34574
Rbfox1
Scrn3
Alox8
Tnpo2
Klc3
Adamts17
Malat1
Gm2464.1
Stxbp6
Btbd16
Cdyl
Gm1976
Usp53
Cdh22
Hrh3
Rab18
Nudt8.1
Gm12932
Alg1
Gm48860
Mboat2
Lrrc75b
Rnf207
Gca
Sh2b3
Arhgef9
Gm28535
