genesymbol,test_statistic,p-value,padj
Tusc3,-3.137399147,0.000393925,0.014218009
Ntf3,-3.137221874,0.000393925,0.014195584
Mccc2,-3.137019347,0.000394141,0.014173228
Csmd1,3.135732368,0.000396298,0.014150943
Cntnap1,-3.133596333,0.000399965,0.014128728
Ggps1,3.13205537,0.000401691,0.014106583
Miip,-3.131737186,0.000401907,0.014084507
Inf2,-3.131603943,0.000401907,0.0140625
Prickle1,3.131327011,0.000401907,0.014040562
Pnn,-3.129437389,0.000404712,0.014018692
Cnpy2,-3.129157881,0.000405143,0.01399689
Polr3e,-3.128855445,0.000406006,0.013975155
Amd1,3.12827861,0.0004073,0.013953488
Gal3st3,-3.127095999,0.00040881,0.013931889
Dmtn,3.125508605,0.000411184,0.013910355
Rad18,-3.121769805,0.000416145,0.013888889
Tspan6,-3.120606936,0.00041744,0.013867488
Pcmtd2,-3.118984237,0.000419381,0.013846154
Tsr1,3.113140744,0.000429521,0.014592934
Shisa7,-3.109655952,0.000435561,0.015337423
Kcnj2,3.1069267,0.000440091,0.015313936
Arhgef28,-3.106058973,0.000441817,0.01529052
Strada,-3.105056936,0.000442896,0.015267176
Slc35f4,-3.10495226,0.000443112,0.015243902
AI413582,-3.102440084,0.000447642,0.0152207
Cplx2,-3.101042522,0.000451525,0.015197568
2610044O15Rik8,-3.101031966,0.000451525,0.015174507
Brd1,3.10099053,0.000451741,0.015151515
Socs6,3.100185843,0.000453251,0.015128593
Mt2,3.099805885,0.000453898,0.01510574
Gm13371,-3.098188804,0.000456487,0.015082956
Mgat3,3.094451887,0.000461449,0.015060241
Appl1,3.093728275,0.000462959,0.015037594
Ttc3,-3.09358488,0.00046339,0.015015015
Dennd2a,-3.093077657,0.000464038,0.014992504
Gm22933,-3.090689046,0.000468137,0.01497006
Scn9a,-3.090078037,0.000468784,0.014947683
Kctd1,3.088692066,0.000471157,0.014925373
Selm,-3.088161872,0.00047202,0.01490313
Pum2,3.087741316,0.000472451,0.014880952
Tulp3,3.087270149,0.000472667,0.014858841
Ccdc6,-3.085779136,0.00047655,0.016320475
Atxn7l1,-3.084460429,0.000478707,0.016296296
Efna1,3.083681458,0.00047957,0.016272189
Snai2,3.08319878,0.000480433,0.016248154
Zfp711,3.082488235,0.00048108,0.016224189
Gm28068,3.080896075,0.000483669,0.016200295
Rab36,-3.080531471,0.000484964,0.016176471
Per2,3.080372572,0.000484964,0.016152717
Egfl7,-3.078785577,0.000486905,0.016129032
Ndufv3,-3.078743837,0.000487121,0.016105417
Rpa1,3.078434745,0.000487984,0.016081871
Ostm1,-3.076509898,0.000492514,0.016058394
Plekhb2,-3.072035009,0.000502006,0.016034985
Gm2606,3.071636584,0.000502653,0.016011645
Deaf1,-3.068440888,0.000508047,0.015988372
Rfng,-3.068438733,0.000508047,0.015965167
Astn1,-3.06652377,0.000510851,0.015942029
Nrp2,3.065886861,0.00051193,0.015918958
Batf3,3.06484151,0.000514734,0.015895954
Cacna1d,-3.064592326,0.000515382,0.015873016
Shisa5,-3.063798673,0.000517323,0.015850144
Nedd4,-3.060434444,0.000524227,0.015827338
Aip,-3.059091989,0.000526384,0.015804598
A830018L16Rik,-3.056847353,0.000530699,0.016499283
Gm17555,-3.056419975,0.000531561,0.016475645
Dpp6,3.055323211,0.000533287,0.017167382
Dlat,-3.054699652,0.000534366,0.017142857
Gm7289,-3.05268882,0.000538896,0.017118402
St18,3.046243824,0.000549467,0.017094017
Pter,-3.045666481,0.000550114,0.017069701
Slc25a20,3.045318321,0.000551193,0.017045455
Lef1,3.043757628,0.000553566,0.017021277
Hook1,-3.043339071,0.000553997,0.016997167
Gm12953,3.042183119,0.000556802,0.016973126
Acp2,-3.040701935,0.000560901,0.016949153
Nrg3,3.040513658,0.000561548,0.016925247
Wasf1,-3.039173827,0.00056349,0.016901408
Syp,-3.038727784,0.000564137,0.016877637
Hist3h2a,-3.038390313,0.000565,0.016853933
Cd81,-3.037429226,0.000566941,0.016830295
Gm11193,-3.036631613,0.000568236,0.016806723
Arhgef25,-3.036268742,0.000569099,0.016783217
Rtn4rl2,3.035613794,0.000570393,0.016759777
9430041J12Rik,3.034288779,0.000572982,0.016736402
Slc43a2,-3.033685252,0.000573629,0.016713092
Lrrn4,-3.033557918,0.000574708,0.016689847
Pigk,-3.032911748,0.000576002,0.016666667
Itfg1,-3.032630834,0.000577081,0.016643551
Rufy2,-3.031118074,0.000580101,0.016620499
Dguok,-3.030285519,0.000581611,0.01659751
Agpat4,3.030133881,0.000582043,0.016574586
Emc6,3.028147153,0.000585279,0.016551724
Srrm4,-3.026897697,0.00058873,0.016528926
Fam161a,3.026841241,0.000588946,0.01650619
Lypd1,-3.026279492,0.000590456,0.01717033
Tmem25,-3.025928249,0.000591535,0.017832647
Gm28809,-3.024590679,0.000594771,0.017808219
Nrbp2,-3.02289574,0.00059887,0.017783858
Zfp808,-3.021929698,0.000601674,0.017759563
Gm16349,3.021100977,0.000603184,0.017735334
Txndc9,3.019159671,0.000607499,0.017711172
Cidea,-3.019031692,0.000608793,0.017687075
Gmpr,-3.01615489,0.000615265,0.017663043
Slc9a9,3.013939911,0.000620874,0.018317503
Gm5141,-3.010385604,0.000629503,0.018292683
Gm28417,3.009233507,0.000631445,0.01894452
Larp1b,3.009105937,0.000632524,0.018918919
Acot6,-3.008370312,0.000634249,0.018893387
Gm9828,-3.00744783,0.00063576,0.018867925
Map3k4,-3.005570173,0.000637917,0.01884253
Syt5,-3.004400069,0.000640937,0.018817204
Rac1,-2.99887848,0.000653018,0.018791946
Pnma2,-2.997304952,0.00065647,0.018766756
Ablim1,-2.993398952,0.000666609,0.018741633
Nfs1,-2.990508073,0.000675454,0.020053476
2810006K23Rik,-2.985918113,0.000684515,0.020026702
Slirp,2.985393491,0.000685378,0.02
Klhl40,2.983833464,0.000689477,0.019973369
Atrx,-2.983602275,0.000689692,0.019946809
Rnh1,2.982312663,0.000693791,0.019920319
Gm21962,2.982238245,0.000694007,0.019893899
Gm24269,-2.980026974,0.000700695,0.01986755
Ifngr2,-2.979400371,0.000702421,0.01984127
Nrg1,2.977661941,0.000705872,0.019815059
Xaf1,2.977453647,0.000706304,0.019788918
Lhfp,2.973041199,0.000717737,0.019762846
Fnip2,-2.972743096,0.000718816,0.019736842
Mapt,-2.97248028,0.000719248,0.019710907
Pxmp4,2.971526656,0.000721836,0.020341207
Rbm39,-2.970634221,0.000724209,0.020314548
Psmd1,-2.969665401,0.000726798,0.020287958
Osbp,2.96554615,0.000735427,0.020915033
Galnt18,-2.965372468,0.00073629,0.020887728
Gdf3,2.964014263,0.000740605,0.020860495
Tmem50a,-2.962944133,0.000742978,0.020833333
Cc2d2a,-2.96213902,0.000744272,0.020806242
Sh2d5,2.960247691,0.000748587,0.020779221
Ttc8,-2.956924375,0.000758942,0.02075227
D930015E06Rik,-2.955515345,0.000763904,0.022020725
Cxcr2,2.955437609,0.000763904,0.021992238
Vwa3a,-2.955035033,0.000765414,0.021963824
Gaa,-2.951867173,0.000775985,0.021935484
Wbscr17,2.949347597,0.000782241,0.021907216
Gng3,-2.949288542,0.000782457,0.021879022
Grcc10,-2.948439226,0.000785693,0.0218509
Ppt1,-2.946978084,0.000788066,0.02182285
Inip,-2.946365096,0.000790007,0.021794872
Rabac1,-2.945059316,0.00079389,0.021766965
Slc25a11,-2.944093882,0.000795401,0.02173913
Smarcc2,2.943556767,0.000796911,0.021711367
Setd1a,2.941655189,0.000803383,0.021683673
Dhrs7,-2.941509186,0.000803814,0.021656051
Col5a2,2.941188141,0.000804677,0.021628499
Sik2,-2.939905526,0.000809423,0.021601017
4930570G19Rik,-2.939155077,0.000810502,0.021573604
Ppp2ca,2.938144806,0.000812875,0.022179975
Blmh,2.937538891,0.000815032,0.02278481
U2af1l4,-2.936851519,0.000817621,0.022756005
Myef2,-2.936664428,0.000818052,0.022727273
Mpc1,-2.936303043,0.000818915,0.022698613
Stx1b,2.935919902,0.00082021,0.022670025
Wdr31,-2.935834857,0.000820857,0.022641509
Cadps,-2.935814463,0.000820857,0.022613065
Hspa2,-2.935692501,0.000820857,0.022584693
Gdpd5,2.933155262,0.000827329,0.022556391
2210408F21Rik,2.933080057,0.000827329,0.02252816
Sox8,-2.932898757,0.000827545,0.0225
Lrrtm1,-2.932431786,0.000828623,0.02247191
Spock2,-2.930630841,0.000832722,0.02244389
Prdm8,-2.930200416,0.000833585,0.02241594
Msantd2,2.928954297,0.000838331,0.02238806
Plod2,-2.92821792,0.000841783,0.022360248
Arpc5,-2.927479658,0.000845234,0.022332506
Cmah,-2.927424254,0.00084545,0.022304833
Vmn1r-ps135,-2.92551667,0.000848686,0.022277228
Trip12,2.925258496,0.000850196,0.022249691
Tnpo1,-2.919333003,0.000868749,0.02345679
Tspan5,2.919229653,0.000869181,0.023427867
Ckmt1,-2.919133013,0.000869396,0.023399015
Izumo4,-2.916060077,0.0008763,0.023370234
Dpp7,-2.915452015,0.000877594,0.023341523
Cadm2,-2.915211462,0.000878457,0.023312883
Tmem160,-2.91487978,0.000879536,0.023284314
Tm7sf3,-2.913072368,0.000886008,0.023255814
Nudc,2.912155341,0.000888596,0.023227384
Gm26594,-2.911549459,0.000890969,0.023199023
Gng13,-2.909163869,0.000897657,0.023170732
Ppp4r4,2.907926756,0.000902835,0.023142509
Tgfbr3,-2.907731916,0.000903482,0.023114355
Dcaf7,-2.906935719,0.000906718,0.023693803
Slc39a14,2.906819751,0.000906718,0.023665049
Gm22701,2.906668511,0.000906934,0.023636364
Fosl2,2.904032974,0.000916426,0.024213075
Cntn1,-2.900463031,0.000928291,0.024183797
Rgl2,-2.899407842,0.00093088,0.024154589
Gpr3,2.898531017,0.0009339,0.024125452
Prex1,2.896160185,0.000940803,0.024096386
Prkag2os1,-2.895864754,0.000941019,0.024067389
Dmap1,-2.895594743,0.000941882,0.024038462
Hdac11,-2.895264238,0.000942745,0.024009604
Gm6999,2.894993435,0.000943392,0.023980815
Prdm10,2.893793256,0.000946844,0.023952096
Grip1,-2.891064018,0.000957415,0.025119617
Micall1,2.890970625,0.00095763,0.025089606
Uqcc3,-2.890923782,0.00095763,0.025059666
4732463B04Rik,-2.890918983,0.00095763,0.025029797
Zc3hc1,2.890745475,0.000958062,0.025
Sphkap,-2.889557386,0.000961082,0.024970273
Acvr1c,2.888844941,0.000962592,0.024940618
Dmxl2,2.886030514,0.00097079,0.024911032
Olfm4,2.885750862,0.0009723,0.024881517
A230006K03Rik,-2.8837694,0.000979204,0.024852071
Dscam,-2.881175567,0.00098999,0.024822695
Zbtb20,-2.880044108,0.000994952,0.024793388
Fkbp3,-2.879158653,0.000997541,0.025943396
Nsf,-2.878007099,0.001001208,0.025912839
Ccdc92,-2.877893152,0.001001855,0.025882353
Plekha6,-2.877164624,0.001004444,0.025851939
Tfdp1,2.876184152,0.001008543,0.025821596
Fry,-2.876023511,0.001008974,0.025791325
Gm15965,2.875549911,0.001010916,0.025761124
Tmx2,-2.872878348,0.001019545,0.025730994
Wscd1,-2.869781764,0.001030332,0.026285047
Fam213b,-2.864560725,0.001047159,0.026837806
Sprn,2.864529006,0.001047375,0.026806527
Vamp2,-2.862047325,0.00105773,0.02677532
Ap3b1,-2.860519474,0.001063986,0.026744186
Hykk,2.860392706,0.001064202,0.026713124
Htra2,-2.859021769,0.001069379,0.026682135
Acss2,-2.858762095,0.001070674,0.026651217
Ctsb,-2.85872611,0.001070889,0.02662037
Csnk1d,2.857562479,0.001074988,0.026589595
Lrrc7,2.857517996,0.001074988,0.026558891
Fbxo3,-2.857227598,0.001077145,0.026528258
Rtn4,-2.855544974,0.001084696,0.027073733
Nanp,-2.855021027,0.001085775,0.027042578
Gm16244,-2.853793732,0.001090737,0.027586207
Snx17,2.853233881,0.00109311,0.027554535
Gm13463,-2.852866203,0.001094188,0.027522936
Sec63,2.852386197,0.001095483,0.027491409
Pramel4,2.851120588,0.00110066,0.027459954
Bend6,-2.850763013,0.001103249,0.027428571
Gm14290,2.850136006,0.001106485,0.02739726
Pak1,-2.846998976,0.001118997,0.027366021
Fus,-2.846698811,0.001120507,0.027334852
Slc26a4,2.846521572,0.001121155,0.027303754
Mbip,-2.84564813,0.001125685,0.027840909
Myo9b,2.844650271,0.001129784,0.027809308
Pura,-2.843850771,0.00113302,0.027777778
Ylpm1,-2.842309899,0.001139276,0.028312571
Gm15446,-2.842267819,0.001139276,0.028280543
Hsd17b11,-2.84185207,0.001142081,0.028248588
Cog2,2.841777192,0.001143375,0.028216704
Mcoln1,-2.841187025,0.001146395,0.028184893
Lrp8,-2.840750522,0.0011492,0.028153153
Cdkl1,-2.839993454,0.001153299,0.028121485
Nprl3,-2.839828453,0.001153946,0.028089888
Usp19,2.836686093,0.001168615,0.028058361
Zbtb4,-2.834807691,0.001174872,0.028026906
Slc2a9,2.834109469,0.001178108,0.027995521
Gm4991,2.833831686,0.001179833,0.027964206
Smpd1,2.832399894,0.001186737,0.02849162
Caps2,-2.830163604,0.00119666,0.029017857
Nudt9,-2.828087902,0.001205074,0.028985507
Plekha5,2.825643672,0.001217155,0.029510022
Rgs3,2.825313882,0.001217586,0.029477197
Siglec1,2.823696853,0.001223411,0.03
Hspa12b,-2.821059255,0.001231393,0.029966704
Rbm26,-2.820868977,0.001231825,0.029933481
Extl1,-2.820649789,0.001232256,0.029900332
Zfp442,-2.820085853,0.001233982,0.029867257
Sec31a,2.819892827,0.001234845,0.029834254
Fam193b,-2.818699463,0.001238297,0.029801325
Gpnmb,2.818487668,0.001238944,0.029768467
2410015M20Rik,-2.818271383,0.001239375,0.029735683
Mrgprc2-ps,2.816638814,0.00124671,0.02970297
Gstp1,-2.815861264,0.001250378,0.02967033
Mest,-2.815118909,0.001254045,0.029637761
Gm12993,-2.813600719,0.001260733,0.029605263
Gm23237,2.812693987,0.001263753,0.030668127
A830080D01Rik,2.81227009,0.001265479,0.030634573
Omg,-2.811961181,0.001266989,0.030601093
Shisa4,2.811895871,0.00126742,0.030567686
Gm27854,-2.811880328,0.00126742,0.030534351
Nav3,-2.811695145,0.001267636,0.030501089
Slc29a4,-2.810601941,0.001271088,0.0304679
Sirpa,-2.809560506,0.001274971,0.030434783
Hnrnpm,-2.809107792,0.001276481,0.030401737
Kif3a,-2.808921643,0.001277128,0.030368764
Gtf2h2,-2.80891485,0.001277128,0.030335861
Gdap1,-2.807836156,0.001284679,0.030844156
1190007I07Rik,-2.80520292,0.001297407,0.030810811
Tmem179,-2.80210106,0.001311645,0.031317495
Nt5dc2,-2.801587431,0.001314018,0.031283711
Txndc15,-2.799348117,0.001324373,0.031788793
Ccdc64,-2.796593584,0.001339043,0.032292788
Rps13-ps1,-2.793249134,0.001353497,0.032258065
Ppa1,-2.792626641,0.001356086,0.032223416
B230307C23Rik,-2.791792462,0.001357596,0.032188841
Pam,-2.79143704,0.001359969,0.032154341
Dock9,-2.790278036,0.001365146,0.032119914
Dtx3,-2.789987548,0.001366872,0.032085561
Cds2,-2.787722855,0.001375933,0.032051282
Grb14,-2.786787342,0.001381111,0.032017076
Dnajc1,2.786675973,0.001381111,0.031982942
Zfp947,-2.786512243,0.001381542,0.031948882
Znrf3,-2.783058326,0.001398585,0.032978723
Uqcrh,-2.783024178,0.001399016,0.032943677
Psip1,-2.782469672,0.001401605,0.032908705
Gm27675,-2.782414847,0.001401605,0.032873807
Ndufa4,-2.780020491,0.001411744,0.032838983
Ifi203,2.779402587,0.001414117,0.032804233
Spc24,2.779180457,0.001415628,0.032769556
Leprotl1,-2.779150357,0.001415628,0.032734952
Dcc,-2.778766336,0.001417569,0.032700422
Mmel1,2.778718701,0.001417569,0.032665964
Trmt13,2.778478863,0.001418648,0.032631579
Uchl1,-2.778292757,0.001419942,0.033123028
Ramp1,-2.777667218,0.001423825,0.033613445
Zfp119a,-2.776034709,0.001432886,0.033578174
Psen2,-2.775154476,0.001436769,0.033542977
Gm16169,-2.774694935,0.001440868,0.033507853
Espn,2.774411484,0.001441947,0.033472803
Gm26652,2.773698618,0.001444536,0.033437827
Lta4h,2.773191725,0.001446261,0.033402923
Gm22709,-2.772821988,0.001448634,0.033368092
Trappc12,-2.772537337,0.00145036,0.033333333
Gm16199,2.772378619,0.001451007,0.033298647
Fktn,-2.770953068,0.001457264,0.033264033
Slbp,2.770632508,0.001459637,0.033748702
Hspa4l,-2.769675212,0.001466756,0.034232365
Gm24327,-2.766511363,0.001482073,0.034196891
Cers1,-2.765457303,0.001489192,0.034161491
Klf7,-2.764222858,0.001496095,0.034643226
Cox7a2,-2.763557972,0.0014989,0.034607438
Insig1,-2.763078717,0.001501273,0.034571723
BC030499,-2.762824038,0.001503214,0.034536082
Nedd4l,-2.762132669,0.001505372,0.034500515
Tceanc,2.761520346,0.001508823,0.034465021
Gm28419,-2.761200334,0.001512059,0.034429599
Pitpnm2os1,2.759612025,0.00151961,0.034907598
Slc31a1,2.759519138,0.001520041,0.034871795
Trank1,2.758740163,0.00152414,0.034836066
Adk,-2.755916762,0.001541399,0.034800409
Cyp2j5,-2.755398411,0.001545066,0.034764826
Med12l,-2.754264444,0.001550244,0.034729316
Slc2a8,-2.751652992,0.001568797,0.035714286
Slc24a3,-2.751067139,0.001570738,0.03567788
Sdc3,-2.750401516,0.001575916,0.035641548
Aar2,-2.747461836,0.001590154,0.03560529
Gm14443,-2.744969966,0.001602882,0.036585366
E030030I06Rik,-2.744751158,0.001604177,0.036548223
BC005537,2.744698649,0.001604824,0.036511156
Dcakd,-2.743969046,0.001610001,0.036474164
Ap2b1,2.743621873,0.00161108,0.036437247
Spata2,-2.742719323,0.001616905,0.036400404
Ntrk2,2.742636277,0.00161712,0.036363636
Zfp692,-2.742188947,0.001618846,0.036326942
Ndufa6,-2.742119239,0.001619062,0.036290323
Tecpr1,-2.741321813,0.001623592,0.036253776
Gm27321,-2.741251987,0.001623808,0.036217304
Fnbp1,-2.741177327,0.001624024,0.036180905
Ssr2,2.74109456,0.001624455,0.036144578
Tubgcp4,2.740305143,0.001628338,0.036108325
Cox7b,-2.740218984,0.001628338,0.036072144
Kdsr,-2.740133113,0.001628338,0.036036036
Vwa8,-2.738778596,0.001636752,0.036
Tnfrsf21,-2.738749199,0.001636752,0.035964036
Ftcd,2.738709747,0.001637399,0.035928144
Epdr1,-2.737558282,0.001642577,0.035892323
Gm21814,-2.737151875,0.001645165,0.035856574
Zfp92,2.736619509,0.001647754,0.035820896
Idh3g,-2.73644037,0.00164948,0.035785288
Slc50a1,-2.736020968,0.001651637,0.036246276
Gm25991,-2.735883606,0.001652285,0.036706349
Dmd,-2.735833981,0.0016525,0.03666997
Gm22802,-2.734538739,0.001661345,0.036633663
Mkl2,-2.732281048,0.001673858,0.036597428
Gadd45gip1,-2.731224707,0.001678388,0.036561265
Gm22854,-2.730878894,0.001679898,0.037018756
Ctsa,-2.730865754,0.001679898,0.036982249
Gm5611,-2.730685206,0.001680761,0.037438424
Mrpl37,-2.73017793,0.001683566,0.037401575
Gm20486,-2.728087373,0.001696294,0.037364798
Nisch,-2.726915876,0.001702334,0.037328094
Dhps,2.72685303,0.00170255,0.037291462
Oaz2,-2.72658783,0.001703629,0.037254902
Gtpbp2,2.725292124,0.001707727,0.037708129
Gm26561,2.725073579,0.00170859,0.03816047
Lgi3,-2.723908532,0.001716572,0.038123167
Gm23636,-2.723685933,0.001718083,0.038085938
Romo1,-2.723046004,0.001720456,0.03804878
Gm10033,-2.721724871,0.001726065,0.038011696
Aatk,-2.721366575,0.001728869,0.037974684
Gm15738,-2.721202169,0.001730164,0.037937743
Gm25873,-2.720527295,0.001735988,0.037900875
Adi1,-2.720385845,0.001736851,0.037864078
Ndufa5,-2.720256339,0.00173793,0.037827352
Aldh1l2,-2.720091977,0.001739008,0.037790698
Lemd1,2.718661593,0.001746343,0.037754114
Smim13,2.71842378,0.001748932,0.037717602
Gm11131,2.71828849,0.001749148,0.037681159
Imp3,-2.717216699,0.001756483,0.037644788
Dgki,2.716536506,0.001759287,0.037608486
Dtd1,-2.716309079,0.001759719,0.037572254
Tpcn1,-2.715983494,0.001762307,0.038017324
Tmem14a,-2.712940782,0.001781076,0.038461538
Mcm6,-2.711906849,0.001787332,0.038424592
Myl12b,-2.709807688,0.001798766,0.038867562
Zfp239,-2.709469332,0.001799845,0.039309684
Trpm2,2.708819836,0.001802865,0.039272031
Scoc,-2.707692367,0.001808258,0.03923445
Mnt,2.70608514,0.001819476,0.039196941
Sv2a,-2.70560041,0.001821849,0.039159503
Elf5,-2.705287373,0.001823575,0.039122137
Zscan26,-2.70512739,0.001824869,0.039084843
Gm26779,-2.704629954,0.001825948,0.039047619
Zfp934,-2.703254795,0.001836519,0.039010466
Mir8097,2.702566358,0.001841049,0.038973384
Uso1,2.702236983,0.00184407,0.039411206
Adcy6,-2.702036821,0.00184558,0.039373814
Fam53b,2.701572293,0.001847737,0.039336493
Atp9a,-2.701514292,0.001848168,0.039299242
Pcsk1n,-2.700863208,0.001852052,0.039262062
Camta1,-2.700617539,0.001854209,0.039224953
Ssbp4,-2.700123477,0.001857229,0.039187913
P4ha1,2.700097795,0.001857445,0.039150943
Matn2,-2.699738325,0.001857876,0.039114043
Gm22064,-2.698586315,0.001864995,0.039548023
Chd3os,-2.698248809,0.001867153,0.039510818
Ms4a1,2.697879542,0.001869094,0.039473684
6720489N17Rik,-2.697060625,0.001875566,0.03943662
Kmt2a,-2.695196611,0.001890667,0.039399625
Map3k12,-2.694909089,0.001892393,0.039362699
Prkce,2.694844927,0.001893041,0.039325843
Gm13835,2.694458631,0.001894982,0.039289055
Meis3,-2.693689197,0.001899081,0.039252336
9830144P21Rik,-2.691495094,0.001913966,0.039215686
Il17rd,-2.690429996,0.001920223,0.039179104
Ptrhd1,-2.690166454,0.001922596,0.039142591
Brcc3,2.689770349,0.001924753,0.039106145
Pde1b,-2.688188439,0.001934245,0.04
Gm26340,-2.685257309,0.001952151,0.039962825
Gpr12,-2.683331621,0.001966389,0.040854225
Gm29055,-2.681964714,0.001977823,0.040816327
Ttc1,-2.679908363,0.001995513,0.041241891
Sec24a,2.679540264,0.001998749,0.041666667
Gm16436,2.679006655,0.0020022,0.041628122
Spint2,-2.678557978,0.002005436,0.041589649
Rwdd3,2.677614104,0.002011261,0.041551247
Smpd3,-2.676940131,0.002017949,0.041512915
Gm26705,2.67662188,0.002019675,0.041474654
Gnas,-2.67466873,0.00203456,0.041896869
Lmtk3,2.674649602,0.002034776,0.041858326
Ankra2,-2.673722926,0.002039306,0.042279412
Wdsub1,-2.673675812,0.002039522,0.042240588
Calu,-2.673664275,0.002039522,0.042201835
Kdm6b,-2.672254409,0.002048367,0.042163153
Cygb,-2.671633196,0.002055055,0.042124542
2010107G23Rik,-2.671045278,0.002058938,0.042086002
Lrrc45,-2.670738844,0.002061095,0.042047532
Dsp,-2.670403171,0.002062389,0.042009132
Hfm1,-2.670062556,0.002065841,0.041970803
Msh2,-2.669256873,0.002070587,0.041932543
Bhlhe40,-2.669133555,0.002071019,0.041894353
Dbpht2,-2.668824089,0.002073176,0.041856233
5430403G16Rik,-2.668807294,0.002073176,0.041818182
Gm10052,2.667835724,0.002081158,0.042688465
Ndst3,-2.667760629,0.002081374,0.042649728
Aoc2,2.666583405,0.00208914,0.042611061
Rtn4r,2.666114425,0.002094318,0.042572464
Kcnc1,-2.665996481,0.002095396,0.042533937
Fam171b,-2.664567041,0.002106614,0.042495479
Ndufa11,-2.664429304,0.002107262,0.042457091
Stmn4,2.663259833,0.002116969,0.042418773
Tubgcp2,-2.662929922,0.002119558,0.042380523
1500017E21Rik,2.662232645,0.002123873,0.042342342
Gcdh,-2.662069425,0.002125599,0.04230423
Dennd6b,-2.661864434,0.002127325,0.042715827
Grm5,-2.661545267,0.002129913,0.042677448
Emc3,-2.661006386,0.002133581,0.042639138
Zfp938,-2.661005677,0.002133581,0.042600897
Msi2,2.660887656,0.002134444,0.042562724
Map2k1,-2.659746817,0.002143936,0.042972247
Pdgfa,2.658198568,0.002155801,0.04293381
Pnisr,-2.657258226,0.002163999,0.042895442
Gm16267,-2.656220651,0.002170471,0.042857143
Arr3,2.656192592,0.002170471,0.042818912
Traip,-2.655789072,0.002172844,0.042780749
Ttll1,-2.654469435,0.002182336,0.043633126
Slc4a3,-2.654353816,0.002182336,0.043594306
Fyn,2.653655858,0.002187513,0.043555556
Macrod2,-2.653149051,0.002190534,0.043516874
Psmd5,-2.651949758,0.002199379,0.043478261
Lppr1,-2.651294823,0.002204341,0.043439716
Pip5k1a,2.651023582,0.002205635,0.04384411
Gm5415,-2.650751569,0.002206929,0.044247788
Mlip,2.64848491,0.002226992,0.044208665
Clec16a,-2.648387436,0.002227208,0.044169611
Tdrd7,2.64589743,0.002247702,0.044130627
Wwc1,-2.645741376,0.002249213,0.044091711
Gba,2.644116403,0.002261941,0.044052863
Gm27640,2.644050791,0.002262588,0.044014085
Kdm4a,-2.641696321,0.002277258,0.044854881
Edem2,-2.639165106,0.002299262,0.044815466
Ctsd,-2.638435443,0.002303577,0.044776119
Il1r1,2.63801318,0.002307029,0.044736842
Gbas,-2.637748394,0.002308754,0.044697634
Epha2,2.637378031,0.002311775,0.044658494
Ddhd2,-2.637286619,0.002312206,0.044619423
Gm26764,2.636890844,0.002315226,0.04458042
Mfsd1,-2.635979139,0.002321483,0.045414847
Gm23935,2.635400055,0.002324934,0.045375218
Gm24245,2.635400055,0.002324934,0.045335658
Gm24270,2.635400055,0.002324934,0.045296167
Gm11034,2.634994347,0.002329033,0.045256745
Rpl14-ps1,-2.633472205,0.002341761,0.045217391
Slain2,2.631654593,0.002355999,0.045612511
Zfp125,-2.630137554,0.002369375,0.046006944
Arhgap32,2.630084577,0.002369806,0.045967042
Brox,2.629232456,0.0023752,0.04592721
Gm17060,-2.627599589,0.00238728,0.045887446
Stard5,-2.627572338,0.002387496,0.045847751
Gm20386,2.627354079,0.002388575,0.045808124
Chst9,-2.626923614,0.002391811,0.045768566
Clybl,-2.62226467,0.002428701,0.04659189
Acaa1a,-2.621958878,0.002431505,0.046551724
Zfp960,-2.621379908,0.00243431,0.046511628
Herc2,2.62072168,0.002440135,0.047332186
Gfra4,-2.620331131,0.002443371,0.047291488
Gm10605,-2.618848119,0.002459335,0.047250859
Map2,2.618221109,0.002464944,0.0472103
Dcdc2a,2.618165351,0.002465159,0.047169811
Eftud2,-2.617802248,0.002468611,0.047129392
Colgalt1,-2.617436071,0.0024712,0.047945205
Ccng1,-2.61586428,0.002484791,0.047904192
Faim,-2.615763343,0.002485222,0.047863248
Letm2,-2.61434815,0.002498813,0.047822374
Psmc4,-2.614165579,0.002500108,0.04778157
Daam1,-2.613734441,0.002501834,0.047740835
Gm17151,2.613252464,0.002507011,0.04770017
Tmem35,2.61198664,0.002515641,0.047659574
Fah,-2.611882579,0.002517366,0.047619048
Zfp955a,-2.611105035,0.00252276,0.048428207
Man2a2,-2.610172884,0.002529016,0.048387097
Ascc3,2.609905013,0.002530094,0.048346056
Gm26620,-2.609748329,0.002531389,0.048305085
H2-DMa,-2.609698542,0.00253182,0.048264183
Sez6,2.60963184,0.002532252,0.04822335
Rfc2,-2.608842467,0.002538939,0.048182587
Tram1l1,-2.60882828,0.002538939,0.048141892
Gm14536,2.608775756,0.002539802,0.048101266
Gm15027,2.608775756,0.002539802,0.048060708
Tmbim6,-2.607270963,0.002554472,0.048020219
Pde4dip,2.606859559,0.002557708,0.047979798
Set,2.606248795,0.002561807,0.047939445
Atp6v1g2,-2.605760427,0.002565906,0.04789916
Scrn1,-2.605535795,0.00256871,0.047858942
Gm22875,2.605256021,0.002570005,0.048238255
Efhd2,2.604562133,0.002575614,0.048197821
Gm17604,-2.604454992,0.002576692,0.048157454
Gm23617,-2.604182987,0.002579497,0.048117155
Hbq1b,-2.603285624,0.002585753,0.048076923
