genesymbol,test_statistic,p-value,padj
Nrxn1,-4.582703014,1.73E-06,0
Pcdh19,-4.575282101,1.73E-06,0
Lrrc16a,-4.571425011,1.73E-06,0
Fam163b,-4.559138108,1.73E-06,0
B3galt5,-4.55485443,1.73E-06,0
Gm8506,4.554519828,1.73E-06,0
Fbxw7,4.54024466,1.73E-06,0
Hsd17b12,4.535258327,1.73E-06,0
Matk,-4.535238988,1.73E-06,0
Ehd1,-4.533918317,1.73E-06,0
Knop1,4.531023866,1.73E-06,0
Lrp11,-4.516755554,1.73E-06,0
B2m,-4.516096289,1.73E-06,0
Gm23632,4.502750357,1.73E-06,0
St6galnac3,-4.499000844,1.73E-06,0
Mat2a,-4.496861572,1.73E-06,0
Miat,-4.486306966,1.73E-06,0
Ccnd2,-4.480064497,1.73E-06,0
Sox11,4.479254898,1.73E-06,0
5730522E02Rik,-4.477354411,1.73E-06,0
Exd2,-4.477148559,1.73E-06,0
Ptpn5,-4.473368148,1.73E-06,0
1700016P03Rik,4.467280684,1.94E-06,0
Me3,-4.461206443,1.94E-06,0
Gm17066,-4.461031538,1.94E-06,0
Slc24a4,4.459459365,1.94E-06,0
Scg5,-4.452331814,1.94E-06,0
Kdm5a,4.447951549,1.94E-06,0
Baz1a,4.443487664,1.94E-06,0
Gm16054,4.433624169,2.16E-06,0
Ak5,-4.422889551,2.37E-06,0
Spats2l,4.405072941,2.37E-06,0
Lmo7,4.395620289,2.59E-06,0
Tanc1,4.394647525,2.59E-06,0
Zcchc18,-4.393364774,2.59E-06,0
Erdr1,4.390823127,2.59E-06,0
Arid4a,-4.381324232,2.80E-06,0
Prrt2,-4.375235053,2.80E-06,0
Ppib,-4.366446812,3.02E-06,0
Ccnh,-4.363904914,3.02E-06,0
Galnt14,4.357654095,3.24E-06,0
Ptprs,-4.351559432,3.24E-06,0
Rasgrf1,-4.344961777,3.24E-06,0
Gm10479,-4.34030617,3.24E-06,0
Hpcal4,4.335437024,3.45E-06,0
1700080N15Rik,-4.334720185,3.45E-06,0
Phactr1,-4.331130251,3.67E-06,0
Gm12940,-4.321548591,3.67E-06,0
Fyco1,-4.31981034,3.67E-06,0
Gm11696,4.317996318,3.67E-06,0
Mettl7a3,4.314637763,3.67E-06,0
Tpt1-ps3,4.294681161,3.88E-06,0
Sema3e,4.285177266,4.31E-06,0
Stoml1,-4.278654978,4.31E-06,0
Tyro3,4.274398875,4.31E-06,0
Gm22369,-4.267757737,4.53E-06,0
Cep70,-4.263285925,4.53E-06,0
Camkv,-4.260353494,4.53E-06,0
Plxna2,4.252627182,4.53E-06,0
Pvrl3,4.239656984,4.53E-06,0
Atpif1,-4.231793835,4.96E-06,0
B3gat1,-4.221470898,5.18E-06,0
Akap13,4.218861945,5.18E-06,0
Gadd45b,4.217799533,5.18E-06,0
0610011F06Rik,-4.214233199,5.61E-06,0
Ttc14,-4.20793194,5.82E-06,0
Scn1a,-4.201733194,5.82E-06,0
Zfp804a,4.199713855,6.47E-06,0
Lrtm2,4.198684809,6.47E-06,0
Prss23,4.187087006,6.69E-06,0
Rnf121,4.179474908,6.90E-06,0
Sh3glb2,-4.177866874,6.90E-06,0
Olfm1,-4.171568153,7.12E-06,0
Dlgap3,4.166169559,7.12E-06,0
Cdh8,-4.15810147,7.33E-06,0
Pak6,4.153745757,7.55E-06,0
Metap1d,-4.150499426,7.55E-06,0
Slc7a11,4.14230321,7.77E-06,0
Itsn1,-4.141967539,7.77E-06,0
Bscl2,-4.13786077,7.98E-06,0
Pgrmc1,-4.136916148,7.98E-06,0
Igsf3,-4.131437721,7.98E-06,0
Gm26011,4.130091039,7.98E-06,0
Vimp,4.122319745,8.20E-06,0
Ric8,4.121445172,8.20E-06,0
Extl2,-4.115495394,8.41E-06,0
Stam,4.115252842,8.41E-06,0
Grik2,-4.115237494,8.41E-06,0
Hsph1,4.111342601,8.63E-06,0
Tub,-4.100831043,9.06E-06,0
Abcg1,-4.09949239,9.28E-06,0
Dpy19l3,4.085554672,9.71E-06,0
Pkd1,-4.076142002,9.92E-06,0
Mmd2,-4.073961269,9.92E-06,0
2900011O08Rik,-4.073384975,9.92E-06,0
Tubb2a,-4.058265357,1.01E-05,0
Adcyap1r1,-4.035822959,1.14E-05,0
Slitrk5,-4.026352646,1.19E-05,0
Spock3,4.018177596,1.23E-05,0
Cacna1h,-4.015363873,1.23E-05,0
Cntn5,4.014158278,1.23E-05,0
Alg3,-4.012326304,1.23E-05,0
Fam213a,-4.007966433,1.25E-05,0
Galnt9,3.998020708,1.32E-05,0
Gm13075,3.992844084,1.38E-05,0
Asb11,3.981970122,1.40E-05,0
Cd47,-3.978815721,1.42E-05,0
Faah,-3.976521704,1.42E-05,0
Dgkh,-3.971078051,1.47E-05,0
Arhgef2,-3.970181899,1.47E-05,0
Csmd3,-3.969916326,1.47E-05,0
Mfsd10,-3.969622932,1.47E-05,0
Acot3,-3.96912981,1.47E-05,0
3110053B16Rik,-3.95935693,1.53E-05,0
Nrp1,3.957128144,1.55E-05,0
Frmd4b,-3.956813907,1.55E-05,0
Gm14741,3.949151912,1.57E-05,0
Cdh2,3.947335506,1.57E-05,0
Dgkz,-3.942313479,1.62E-05,0
Serpinb13,-3.93960131,1.62E-05,0
Kcna4,3.933419707,1.66E-05,0
Tceal3,-3.933324424,1.66E-05,0
Stard13,-3.932992132,1.66E-05,0
Gm11497,3.925140263,1.68E-05,0
Dync1i1,-3.925033801,1.68E-05,0
Ppox,-3.918886388,1.73E-05,0
Cnih3,3.915186175,1.73E-05,0
Rasgrf2,-3.913398614,1.73E-05,0
Rnf167,-3.913155608,1.73E-05,0
Abcc8,-3.907117867,1.79E-05,0
Nudt16,-3.905769384,1.79E-05,0
Arxes1,3.902447621,1.88E-05,0
Dmxl1,3.899012449,1.94E-05,0
15-Sep,-3.89517008,2.01E-05,0
A730017C20Rik,-3.884747836,2.07E-05,0
Wipf3,3.882086873,2.11E-05,0
Cyfip1,-3.879824815,2.11E-05,0
Mir99ahg,-3.872047705,2.16E-05,0
Dnajb5,3.869562299,2.16E-05,0
Kcnc4,3.865276632,2.20E-05,0
B4galt1,3.85810135,2.27E-05,0
Nalcn,-3.857638704,2.27E-05,0
Pkia,-3.854830758,2.29E-05,0
Adam22,-3.851752847,2.29E-05,0
Fam57b,-3.851186581,2.29E-05,0
Sv2c,3.851096048,2.29E-05,0
Vhl,3.849552406,2.29E-05,0
Nicn1,-3.846711535,2.35E-05,0
Pik3ip1,-3.845326002,2.37E-05,0
4930524O07Rik,3.844816633,2.37E-05,0
Ncald,-3.837736786,2.42E-05,0
Cops6,-3.831961375,2.46E-05,0
Gm23163,-3.824502035,2.57E-05,0
Smap2,3.823394776,2.57E-05,0
Bphl,-3.81855089,2.61E-05,0
Plk5,-3.81537269,2.65E-05,0
Gabra4,3.807741537,2.76E-05,0
St5,-3.807497954,2.76E-05,0
B4galt3,-3.805272869,2.80E-05,0
Dlg2,3.803049866,2.80E-05,0
Vldlr,3.802599998,2.80E-05,0
Cpne4,-3.801370462,2.83E-05,0
Arhgap12,-3.789875727,2.83E-05,0
St6galnac5,-3.789020521,2.83E-05,0
Syt13,-3.784940407,2.85E-05,0
Kifc2,-3.784037541,2.85E-05,0
Pex5l,3.783429279,2.85E-05,0
Tll1,3.77938381,2.91E-05,0
Gm25002,-3.777549077,2.93E-05,0
Ceacam19,3.769325841,3.15E-05,0
Pdcd4,-3.767165955,3.17E-05,0
Gpr155,-3.76104177,3.21E-05,0
Arl6ip1,-3.758961958,3.21E-05,0
Zmym6,-3.756663456,3.26E-05,0
Gm1673,-3.754711284,3.30E-05,0
Nsg2,-3.753947885,3.30E-05,0
C2cd5,-3.751665703,3.32E-05,0
Prss23os,3.750238388,3.34E-05,0
Snhg11,-3.749785939,3.37E-05,0
Chpf2,3.745450165,3.43E-05,0
Setd8,3.742190814,3.49E-05,0.001381215
Lrrc4c,3.732327078,3.60E-05,0.002754821
Pcdh9,-3.718442483,3.90E-05,0.002747253
Hras,3.715594249,3.93E-05,0.002739726
Gm3604,-3.714351851,3.93E-05,0.00273224
Pianp,-3.714347339,3.93E-05,0.002724796
Robo3,3.711829037,3.95E-05,0.002717391
Scn3a,-3.711795198,3.95E-05,0.002710027
Ndufs3,-3.711698679,3.95E-05,0.002702703
Bex2,-3.709723297,3.99E-05,0.002695418
Aim1l,3.709630147,3.99E-05,0.002688172
Vstm2a,-3.708244653,3.99E-05,0.002680965
Sh3gl2,-3.707809133,3.99E-05,0.002673797
